week,neg_sentiment,pos_sentiment,n_posts
2020-01-06,0.1454868041694389,0.8545131958305611,2254.5
2020-01-13,0.1454868041694389,0.8545131958305611,2254.5
2020-01-20,0.1454868041694389,0.8545131958305611,2254.5
2020-01-27,0.1454868041694389,0.8545131958305611,2254.5
2020-02-03,0.18060805258833196,0.819391947411668,1521.25
2020-02-10,0.18060805258833196,0.819391947411668,1521.25
2020-02-17,0.18060805258833196,0.819391947411668,1521.25
2020-02-24,0.18060805258833196,0.819391947411668,1521.25
2020-03-02,0.15214506855373727,0.8478549314462627,1808.8
2020-03-09,0.15214506855373727,0.8478549314462627,1808.8
2020-03-16,0.15214506855373727,0.8478549314462627,1808.8
2020-03-23,0.15214506855373727,0.8478549314462627,1808.8
2020-03-30,0.15214506855373727,0.8478549314462627,1808.8
2020-04-06,0.14777585210860775,0.8522241478913922,2163.75
2020-04-13,0.14777585210860775,0.8522241478913922,2163.75
2020-04-20,0.14777585210860775,0.8522241478913922,2163.75
2020-04-27,0.14777585210860775,0.8522241478913922,2163.75
2020-05-04,0.14115537338286152,0.8588446266171385,1951.75
2020-05-11,0.14115537338286152,0.8588446266171385,1951.75
2020-05-18,0.14115537338286152,0.8588446266171385,1951.75
2020-05-25,0.14115537338286152,0.8588446266171385,1951.75
2020-06-01,0.11993052540165001,0.8800694745983499,2303.0
2020-06-08,0.11993052540165001,0.8800694745983499,2303.0
2020-06-15,0.11993052540165001,0.8800694745983499,2303.0
2020-06-22,0.11993052540165001,0.8800694745983499,2303.0
2020-06-29,0.11993052540165001,0.8800694745983499,2303.0
2020-07-06,0.11054166995190412,0.8894583300480958,3170.75
2020-07-13,0.11054166995190412,0.8894583300480958,3170.75
2020-07-20,0.11054166995190412,0.8894583300480958,3170.75
2020-07-27,0.11054166995190412,0.8894583300480958,3170.75
2020-08-03,0.16645880103101354,0.8335411989689864,2405.4
2020-08-10,0.16645880103101354,0.8335411989689864,2405.4
2020-08-17,0.16645880103101354,0.8335411989689864,2405.4
2020-08-24,0.16645880103101354,0.8335411989689864,2405.4
2020-08-31,0.16645880103101354,0.8335411989689864,2405.4
2020-09-07,0.12398921832884097,0.876010781671159,2504.25
2020-09-14,0.12398921832884097,0.876010781671159,2504.25
2020-09-21,0.12398921832884097,0.876010781671159,2504.25
2020-09-28,0.12398921832884097,0.876010781671159,2504.25
2020-10-05,0.1353887399463807,0.8646112600536193,1678.5
2020-10-12,0.1353887399463807,0.8646112600536193,1678.5
2020-10-19,0.1353887399463807,0.8646112600536193,1678.5
2020-10-26,0.1353887399463807,0.8646112600536193,1678.5
2020-11-02,0.09324438309945557,0.9067556169005445,2608.2
2020-11-09,0.09324438309945557,0.9067556169005445,2608.2
2020-11-16,0.09324438309945557,0.9067556169005445,2608.2
2020-11-23,0.09324438309945557,0.9067556169005445,2608.2
2020-11-30,0.09324438309945557,0.9067556169005445,2608.2
2020-12-07,0.13846317581949766,0.8615368241805024,2349.0
2020-12-14,0.13846317581949766,0.8615368241805024,2349.0
2020-12-21,0.13846317581949766,0.8615368241805024,2349.0
2020-12-28,0.13846317581949766,0.8615368241805024,2349.0
2021-01-04,0.14003233428678025,0.8599676657132197,2010.25
2021-01-11,0.14003233428678025,0.8599676657132197,2010.25
2021-01-18,0.14003233428678025,0.8599676657132197,2010.25
2021-01-25,0.14003233428678025,0.8599676657132197,2010.25
2021-02-01,0.3538829400145545,0.6461170599854454,2404.75
2021-02-08,0.3538829400145545,0.6461170599854454,2404.75
2021-02-15,0.3538829400145545,0.6461170599854454,2404.75
2021-02-22,0.3538829400145545,0.6461170599854454,2404.75
2021-03-01,0.1696767339505236,0.8303232660494765,1317.8
2021-03-08,0.1696767339505236,0.8303232660494765,1317.8
2021-03-15,0.1696767339505236,0.8303232660494765,1317.8
2021-03-22,0.1696767339505236,0.8303232660494765,1317.8
2021-03-29,0.1696767339505236,0.8303232660494765,1317.8
2021-04-05,0.13952439986475826,0.8604756001352417,2218.25
2021-04-12,0.13952439986475826,0.8604756001352417,2218.25
2021-04-19,0.13952439986475826,0.8604756001352417,2218.25
2021-04-26,0.13952439986475826,0.8604756001352417,2218.25
2021-05-03,0.14134972170686458,0.8586502782931354,1724.8
2021-05-10,0.14134972170686458,0.8586502782931354,1724.8
2021-05-17,0.14134972170686458,0.8586502782931354,1724.8
2021-05-24,0.14134972170686458,0.8586502782931354,1724.8
2021-05-31,0.14134972170686458,0.8586502782931354,1724.8
2021-06-07,0.14441568047337278,0.8555843195266272,2704.0
2021-06-14,0.14441568047337278,0.8555843195266272,2704.0
2021-06-21,0.14441568047337278,0.8555843195266272,2704.0
2021-06-28,0.14441568047337278,0.8555843195266272,2704.0
2021-07-05,0.1410385779709695,0.8589614220290305,3220.75
2021-07-12,0.1410385779709695,0.8589614220290305,3220.75
2021-07-19,0.1410385779709695,0.8589614220290305,3220.75
2021-07-26,0.1410385779709695,0.8589614220290305,3220.75
2021-08-02,0.15928322548531607,0.840716774514684,2009.0
2021-08-09,0.15928322548531607,0.840716774514684,2009.0
2021-08-16,0.15928322548531607,0.840716774514684,2009.0
2021-08-23,0.15928322548531607,0.840716774514684,2009.0
2021-08-30,0.15928322548531607,0.840716774514684,2009.0
2021-09-06,0.17632470860543936,0.8236752913945606,3024.25
2021-09-13,0.17632470860543936,0.8236752913945606,3024.25
2021-09-20,0.17632470860543936,0.8236752913945606,3024.25
2021-09-27,0.17632470860543936,0.8236752913945606,3024.25
2021-10-04,0.24245472837022133,0.7575452716297787,2733.5
2021-10-11,0.24245472837022133,0.7575452716297787,2733.5
2021-10-18,0.24245472837022133,0.7575452716297787,2733.5
2021-10-25,0.24245472837022133,0.7575452716297787,2733.5
2021-11-01,0.1505593405669106,0.8494406594330893,2377.8
2021-11-08,0.1505593405669106,0.8494406594330893,2377.8
2021-11-15,0.1505593405669106,0.8494406594330893,2377.8
2021-11-22,0.1505593405669106,0.8494406594330893,2377.8
2021-11-29,0.1505593405669106,0.8494406594330893,2377.8
2021-12-06,0.19689119170984457,0.8031088082901554,2316.0
2021-12-13,0.19689119170984457,0.8031088082901554,2316.0
2021-12-20,0.19689119170984457,0.8031088082901554,2316.0
2021-12-27,0.19689119170984457,0.8031088082901554,2316.0
2022-01-03,0.23074757144868369,0.7692524285513164,1420.6
2022-01-10,0.23074757144868369,0.7692524285513164,1420.6
2022-01-17,0.23074757144868369,0.7692524285513164,1420.6
2022-01-24,0.23074757144868369,0.7692524285513164,1420.6
2022-01-31,0.23074757144868369,0.7692524285513164,1420.6
2022-02-07,0.22254787026182102,0.777452129738179,1279.5
2022-02-14,0.22254787026182102,0.777452129738179,1279.5
2022-02-21,0.22254787026182102,0.777452129738179,1279.5
2022-02-28,0.22254787026182102,0.777452129738179,1279.5
2022-03-07,0.23015873015873015,0.7698412698412699,1228.5
2022-03-14,0.23015873015873015,0.7698412698412699,1228.5
2022-03-21,0.23015873015873015,0.7698412698412699,1228.5
2022-03-28,0.23015873015873015,0.7698412698412699,1228.5
2022-04-04,0.23939127889961956,0.7606087211003805,854.25
2022-04-11,0.23939127889961956,0.7606087211003805,854.25
2022-04-18,0.23939127889961956,0.7606087211003805,854.25
2022-04-25,0.23939127889961956,0.7606087211003805,854.25
2022-05-02,0.20619554695062925,0.7938044530493708,826.4
2022-05-09,0.20619554695062925,0.7938044530493708,826.4
2022-05-16,0.20619554695062925,0.7938044530493708,826.4
2022-05-23,0.20619554695062925,0.7938044530493708,826.4
2022-05-30,0.20619554695062925,0.7938044530493708,826.4
2022-06-06,0.1603559870550162,0.8396440129449838,1545.0
2022-06-13,0.1603559870550162,0.8396440129449838,1545.0
2022-06-20,0.1603559870550162,0.8396440129449838,1545.0
2022-06-27,0.1603559870550162,0.8396440129449838,1545.0
2022-07-04,0.24614173228346456,0.7538582677165354,1587.5
2022-07-11,0.24614173228346456,0.7538582677165354,1587.5
2022-07-18,0.24614173228346456,0.7538582677165354,1587.5
2022-07-25,0.24614173228346456,0.7538582677165354,1587.5
2022-08-01,0.21305977510357074,0.7869402248964292,1013.8
2022-08-08,0.21305977510357074,0.7869402248964292,1013.8
2022-08-15,0.21305977510357074,0.7869402248964292,1013.8
2022-08-22,0.21305977510357074,0.7869402248964292,1013.8
2022-08-29,0.21305977510357074,0.7869402248964292,1013.8
2022-09-05,0.2001259974800504,0.7998740025199496,1190.5
2022-09-12,0.2001259974800504,0.7998740025199496,1190.5
2022-09-19,0.2001259974800504,0.7998740025199496,1190.5
2022-09-26,0.2001259974800504,0.7998740025199496,1190.5
2022-10-03,0.18399815540696335,0.8160018445930366,867.4
2022-10-10,0.18399815540696335,0.8160018445930366,867.4
2022-10-17,0.18399815540696335,0.8160018445930366,867.4
2022-10-24,0.18399815540696335,0.8160018445930366,867.4
2022-10-31,0.18399815540696335,0.8160018445930366,867.4
2022-11-07,0.12179984484096198,0.878200155159038,1611.25
2022-11-14,0.12179984484096198,0.878200155159038,1611.25
2022-11-21,0.12179984484096198,0.878200155159038,1611.25
2022-11-28,0.12179984484096198,0.878200155159038,1611.25
2022-12-05,0.16866315285098227,0.8313368471490177,1043.5
2022-12-12,0.16866315285098227,0.8313368471490177,1043.5
2022-12-19,0.16866315285098227,0.8313368471490177,1043.5
2022-12-26,0.16866315285098227,0.8313368471490177,1043.5
2023-01-02,0.15197381877684596,0.848026181223154,977.8000000000001
2023-01-09,0.15197381877684596,0.848026181223154,977.8000000000001
2023-01-16,0.15197381877684596,0.848026181223154,977.8000000000001
2023-01-23,0.15197381877684596,0.848026181223154,977.8000000000001
2023-01-30,0.15197381877684596,0.848026181223154,977.8000000000001
2023-02-06,0.20175173663545756,0.7982482633645425,827.75
2023-02-13,0.20175173663545756,0.7982482633645425,827.75
